No,Reward Type,Name,Image,SetItemId,Description (Click for Details),Used For,Sending Flow,Reward Title,Reward Text,Note
45,Consumables,Potion of Extra Health,,IC_POTION_EXTRA_HEALTH,"Restores 80 HP to your Avatar.
A more concentrated form of the Potion of Health, anyone who drinks this liquid feels more vitalized on the spot, while their wounds rapidly close.",The Scape,Automatic (FDW Wallet),You have received,Your items will be sent to your wallet and inventory shortly. ,details here
46,Token,PRANG,,,PRANG points are community points used within Prang View,Prang View,Automatic (FDW Wallet),You have received,Your items will be sent to your wallet and inventory shortly. ,
47,Token,WAFF,,,Ratio WAFF Points,Prang View,Automatic (FDW Wallet),You have received,Your items will be sent to your wallet and inventory shortly. ,
48,NFT,"Two-tone Waffle
(1 ea)",,ITMRTW000002,"Enjoy a Free 1 Two-tone Waffle
(1 ea)
Choose 1 sauce from 
Chocolate/ Caramel/ Blueberry/ strawberry/ maple syrup 

* Any issue that has our judgment will be final.
-
ฟรี ทูโทน วาฟเฟิล
(มีซอสแถมในชุด)
มีให้เลือก 5 ซอส
ช็อคโกแลต/ คาราเมล/ บลูเบอรี่/ สตอเบอรี่/ เมเปิ้ลไซรัป

*ในกรณีที่มีข้อโต้แย้งใด ๆ คำตัดสินของทางร้านค้าถือเป็นที่สิ้นสุด",Ratio Waffle,Automatic (FDW Wallet),You have received,Your items will be sent to your wallet and inventory shortly. ,
49,NFT,"FREE! 1 Ratio Roll worth 20 THB
any flavor.",,ITMRTW000004,"รับฟรี! ขนมโตเกียวราคา 20 บาท 1 ชิ้น รสชาติใดก็ได้
.
เงื่อนไขและข้อกำหนด
-สามารถแลกรับได้ 2 สาขาเท่านั้น*
1. สาขา JAS green village Ramkhamhaeng's
2. สาขา Nirvana pouch
-ทางเราจะไม่รับผิดชอบในกรณีที่เวาเชอร์สูญหาย ถูกขโมย หรือถูกใช้งานโดยไม่ได้รับอนุญาต
-เวาเชอร์นี้ไม่สามารถแลกเป็นเงินสดได้
-ผู้ใช้สามารถใช้บัตรกำนัลนี้ได้ 1 ใบต่อ 1 บิล และใช้ได้เพียง 1 ครั้งเท่านั้น
-บัตรกำนัลนี้ไม่สามารถโอนสิทธิ์ให้ผู้อื่นหรือจำหน่ายต่อได้ไม่ว่ากรณีใดๆ
-ลูกค้าสามารถรับสินค้าได้ภายในเวลา 20:00 น. ของทุกวัน",Ratio Waffle,Automatic (FDW Wallet),You have received,Your items will be sent to your wallet and inventory shortly. ,
50,NFT,"
FREE Ratio Roll Special Set worth 100 THB
",,ITMRTW000005,"รับฟรี! ขนมโตเกียว Special Set มูลค่า 100 บาท จำนวน 5 ขิ้น ดังนี้
1.ปูอัด ไข่กุ้ง ชีส
2.ผักโขม ไส้กรอก ชีส
3.นูเทลล่า กล้วยหอม
4.คัสตาร์ดครีม อัลมอนด์
5.คัสตาร์ด ใบเตย
.
เงื่อนไขและข้อกำหนด
-สามารถแลกรับได้ 2 สาขาเท่านั้น*
1. สาขา JAS green village Ramkhamhaeng's
2. สาขา Nirvana pouch
-ทางเราจะไม่รับผิดชอบในกรณีที่เวาเชอร์สูญหาย ถูกขโมย หรือถูกใช้งานโดยไม่ได้รับอนุญาต
-เวาเชอร์นี้ไม่สามารถแลกเป็นเงินสดได้
-ผู้ใช้สามารถใช้บัตรกำนัลนี้ได้ 1 ใบต่อ 1 บิล และใช้ได้เพียง 1 ครั้งเท่านั้น
-บัตรกำนัลนี้ไม่สามารถโอนสิทธิ์ให้ผู้อื่นหรือจำหน่ายต่อได้ไม่ว่ากรณีใดๆ
-ลูกค้าสามารถรับสินค้าได้ภายในเวลา 20:00 น. ของทุกวัน",Ratio Waffle,Automatic (FDW Wallet),You have received,Your items will be sent to your wallet and inventory shortly. ,
51,NFT,Choose any yogurt flavor: blueberry or strawberry,,ITMTCD000001,"Choose any yogurt flavour: blueberry or strawberry

* Any issue that has occurred, our judgment will be final.
-
เลือกรับโยเกิรต์พร้อมดื่มได้ฟรี 1 ขวด รสสตรอว์เบอร์รีหรือบลูเบอร์รี

*ในกรณีที่มีข้อโต้แย้งใด ๆ คำตัดสินของทางร้านค้าถือเป็นที่สิ้นสุด",Tochio Donut,Automatic (FDW Wallet),You have received,Your items will be sent to your wallet and inventory shortly. ,
52,NFT,"Enjoy 1 box (4 pcs) of classic medium-sized donuts,
 with your choice of flavors.",,ITMTCD000002,"Enjoy 1 box (4 pcs) of classic medium-sized donuts,
With your choice of flavours.

* Any issue that occurs, our judgment will be final.
-
สามารถเลือกรับโดนัทฟรี 4 ชิ้น รสชาตใดก็ได้

*ในกรณีที่มีข้อโต้แย้งใด ๆ คำตัดสินของทางร้านค้าถือเป็นที่สิ้นสุด",Tochio Donut,Automatic (FDW Wallet),You have received,Your items will be sent to your wallet and inventory shortly. ,
53,Token,ZENY,,,Tochio ZENY Points,Tochio Donut,Automatic (FDW Wallet),You have received,Your items will be sent to your wallet and inventory shortly. ,
54,NFT,Free Blessed Miniature Sacred Gold Charm,,ITMAJP000001,"ฟรี! ก้อนทองมงคลปลุกเสกแล้ว เสริมดวง เรียกโชคเรียกเงิน
ขนาด 0.9 cm.",ANant Ja Pan ChaYen,Automatic (FDW Wallet),You have received,Your items will be sent to your wallet and inventory shortly. ,
55,NFT,Free 1 Glass Of Small Slushy Ice Thai Tea,,ITMAJP000002,"ฟรี! ชาเย็น 1 แก้ว
Free! 1 Glass of Ice Thai Tea ",ANant Ja Pan ChaYen,Automatic (FDW Wallet),You have received,Your items will be sent to your wallet and inventory shortly. ,
56,NFT,Free Caramel Butter Toast,,ITMAJP000003,"ฟรี! ขนมปังคาราเมลโทสต์ ฉ่ำเนย
Free! Caramel butter Toast",ANant Ja Pan ChaYen,Automatic (FDW Wallet),You have received,Your items will be sent to your wallet and inventory shortly. ,
57,NFT,"Free 1 Glass of Thai Tea and 
Sweet Corn with Butter 1 pc",,ITMAJP000004,"ฟรี! ข้าวชาเย็น 1 แก้ว และข้าวโพดคลุกเนย 1 ถ้วย
Free! 1 Glass of Thai Tea and Sweet Corn with Butter 1 pc.",ANant Ja Pan ChaYen,Automatic (FDW Wallet),You have received,Your items will be sent to your wallet and inventory shortly. ,
58,NFT,250 Baht voucher to use at Bangbang,,ITMBKD000001,"เวาเชอร์แทนเงินสด มูลค่า 250 บาท สามารถใช้ได้ที่ BangBang Bangkok เท่านั้น

- เวาเชอร์นี้ไม่สามารถแลกเปลี่ยนเป็นเงินสด
- เวาเชอร์นี้ได้ใช้ที่ BangBang Bangkok RCA เท่านั้น
- บริษัทขอสงวนสิทธิ์หากมีการเปลี่ยนแปลงเงื่อนไขโดยไม่ต้องแจ้งให้ทราบล่วงหน้า
- คำตัดสินของพนักงานถือเป็นสิ้นสุด
",Bangkok Deejay,Automatic (FDW Wallet),You have received,Your items will be sent to your wallet and inventory shortly. ,
59,NFT,500 Baht voucher to use at Bangbang,,ITMBKD000002,"เวาเชอร์แทนเงินสด มูลค่า 500 บาท สามารถใช้ได้ที่ BangBang Bangkok เท่านั้น

- เวาเชอร์นี้ไม่สามารถแลกเปลี่ยนเป็นเงินสด
- เวาเชอร์นี้ได้ใช้ที่ BangBang Bangkok RCA เท่านั้น
- บริษัทขอสงวนสิทธิ์หากมีการเปลี่ยนแปลงเงื่อนไขโดยไม่ต้องแจ้งให้ทราบล่วงหน้า
- คำตัดสินของพนักงานถือเป็นสิ้นสุด",Bangkok Deejay,Automatic (FDW Wallet),You have received,Your items will be sent to your wallet and inventory shortly. ,
60,NFT,750 Baht voucher to use at Bangbang,,ITMBKD000003,"เวาเชอร์แทนเงินสด มูลค่า 750 บาท สามารถใช้ได้ที่ BangBang Bangkok เท่านั้น

- เวาเชอร์นี้ไม่สามารถแลกเปลี่ยนเป็นเงินสด
- เวาเชอร์นี้ได้ใช้ที่ BangBang Bangkok RCA เท่านั้น
- บริษัทขอสงวนสิทธิ์หากมีการเปลี่ยนแปลงเงื่อนไขโดยไม่ต้องแจ้งให้ทราบล่วงหน้า
- คำตัดสินของพนักงานถือเป็นสิ้นสุด",Bangkok Deejay,Automatic (FDW Wallet),You have received,Your items will be sent to your wallet and inventory shortly. ,
61,Token,SONG,,,Song Points,Songkhla,Automatic (FDW Wallet),You have received,Your items will be sent to your wallet and inventory shortly. ,
62,NFT,แก้วเก็บความเย็น Songkhla,,ITMSGK000001,"แก้วเก็บความเย็น 
สามารถแลกรับโดยส่งข้อความและรูป QR Code มาที่ Fackbook: The Spirits of Songkhla 
พร้อม ชื้อ-นามสกุล, ที่อยู่ , เบอร์โทรเพื่อจัดส่งแก้วเก็บความเย็นสุดพิเศษนี้ให้",Songkhla,Automatic (FDW Wallet),You have received,Your items will be sent to your wallet and inventory shortly. ,
63,Physical Item, Ledger Flex,,LDG001,"Ledger Flex is a sleek, portable hardware wallet featuring a clear and energy-efficient E Ink® touchscreen. CC EAL6+ certified, it supports over 15,000 cryptocurrencies and connects via USB-C, Bluetooth, or NFC. Personalize it with your favorite NFT display and manage assets easily through the Ledger Live app.",Bitazza TH,Manual - Physical Item (Contact CS),Chance to win,"Thanks for participating, please wait for the campaign winner announcement.",
64,Physical Item, Ledger Stax,,LDG002,"Ledger Stax is a lightweight, 45.2g hardware wallet with a clear E Ink® touchscreen and CC EAL6+ security certification. It supports over 15,000 cryptocurrencies, wireless charging, and comes with a magnetic case. Users can customize the display with NFTs and manage assets via USB-C, Bluetooth, or NFC through the Ledger Live app.",Bitazza TH,Manual - Physical Item (Contact CS),Chance to win,"Thanks for participating, please wait for the campaign winner announcement.",
65,NFT,Free Miso Soup ,,ITMYTK000001,"
ซื้อสินค้าใดก็ได้ผ่านแอปครั้งแรก รับฟรี! ซุปมิโซะ 1 ถ้วย 
*ของรางวัลมีจำนวนจำกัด",Yuutako,Automatic (FDW Wallet),You have received,Your items will be sent to your wallet and inventory shortly. ,
66,NFT,"Free Takoyaki Size S
(1 box) ",,ITMYTK000002,ระดับที่ 2: ใช้จ่ายครบ 500  บาท รับ ทาโกะยากิ Size S และรับแต้ม 15 Freedom Shards ,Yuutako,Automatic (FDW Wallet),You have received,Your items will be sent to your wallet and inventory shortly. ,
67,NFT,FREE Okonomiyaki (99 THB),,ITMYTK000003,ระดับที่ 3: ใช้จ่ายครบ 900 บาท รับ โอโคโนมิยากิ มูลค่า 99  และรับแต้ม 20 Freedom Shards,Yuutako,Automatic (FDW Wallet),You have received,Your items will be sent to your wallet and inventory shortly. ,
68,Token,YUU,,,Yuu points are community points used within the Yuutako Community,Yuutako,Automatic (FDW Wallet),You have received,Your items will be sent to your wallet and inventory shortly. ,
